seq,mean,cvar05,cvar25,distorted_ordered,prob_catastrophic,prob_degraded,feasible,losses_json,probs_json
check_r1|check_r1|check_r1,895.0,895.0,895.0,895.0,1.0,1.0,False,"[895.0, 895.0, 895.0, 895.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|check_r2,895.0,895.0,895.0,895.0,1.0,1.0,False,"[895.0, 895.0, 895.0, 895.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r1,820.0,1000.0,1000.0,754.1127537842088,1.0,0.5,False,"[640.0, 1000.0, 640.0, 1000.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|sample_r2,820.0,1000.0,1000.0,754.1127537842088,1.0,0.5,False,"[1000.0, 640.0, 640.0, 1000.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r1|move,800.0,800.0,800.0,800.0,1.0,1.0,False,"[800.0, 800.0, 800.0, 800.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r2|check_r1,895.0,895.0,895.0,895.0,1.0,1.0,False,"[895.0, 895.0, 895.0, 895.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r2|check_r2,895.0,895.0,895.0,895.0,1.0,1.0,False,"[895.0, 895.0, 895.0, 895.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r2|sample_r1,820.0,1000.0,1000.0,754.1127537842088,1.0,0.5,False,"[640.0, 1000.0, 640.0, 1000.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r2|sample_r2,820.0,1000.0,1000.0,754.1127537842088,1.0,0.5,False,"[1000.0, 640.0, 640.0, 1000.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|check_r2|move,800.0,800.0,800.0,800.0,1.0,1.0,False,"[800.0, 800.0, 800.0, 800.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|sample_r1|check_r1,820.0,1000.0,1000.0,754.1127537842088,1.0,0.5,False,"[640.0, 1000.0, 640.0, 1000.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|sample_r1|check_r2,820.0,1000.0,1000.0,754.1127537842088,1.0,0.5,False,"[640.0, 1000.0, 640.0, 1000.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|sample_r1|sample_r1,780.0,1105.0,1105.0,661.0369165548215,1.0,0.5,False,"[455.0, 1105.0, 455.0, 1105.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|sample_r1|sample_r2,762.5,1105.0,1105.0,662.393491748506,1.0,0.25,False,"[745.0, 745.0, 455.0, 1105.0]","[0.25, 0.25, 0.25, 0.25]"
check_r1|sample_r1|move,725.0,905.0,905.0,659.1127537842088,1.0,0.5,False,"[545.0, 905.0, 545.0, 905.0]","[0.25, 0.25, 0.25, 0.25]"
